293999
0	20009	13
1	15690	9
1	37930	6
1	41415	15
2	27476	13
2	33276	13
3	14098	9
3	17979	6
3	26808	8
3	29535	6
3	43680	15
3	7568	6
4	11504	9
4	14836	15
4	15944	15
4	17310	15
4	21371	15
4	21499	9
4	22608	15
4	26820	9
4	29308	6
4	32696	15
4	33321	6
4	33909	2
4	36267	11
4	39495	15
4	40263	8
4	42149	9
4	45146	15
4	46289	6
4	52312	9
4	55907	1
4	9000	15
5	14932	6
5	22549	1
5	29705	15
5	45672	6
6	18143	9
6	29552	7
6	40382	1
6	44621	1
8	24808	5
8	25104	14
8	27	5
8	3996	5
8	44164	5
9	10396	6
9	14173	6
9	18316	6
9	26518	6
9	32393	6
9	36634	6
9	5117	9
9	52661	1
9	53268	6
9	55362	6
9	56333	6
9	57016	6
10	12507	13
10	45408	13
10	491	13
10	55226	13
10	7547	13
13	11346	9
13	28388	1
13	36977	1
13	51896	1
16	1454	9
16	3845	15
16	52312	9
16	52740	15
18	14836	15
18	15989	6
18	25335	7
18	26820	9
18	28934	6
18	33909	2
18	47662	8
19	21089	6
19	25045	1
19	28941	1
19	31817	6
19	35256	9
19	41403	11
20	12118	6
20	13246	1
20	43344	1
20	49503	7
20	52477	9
20	55220	9
22	15846	1
22	35925	6
22	42811	11
22	56779	1
23	18540	9
23	21460	1
23	26820	9
23	33420	15
23	45939	15
23	52442	15
23	9363	9
25	12963	4
25	25683	4
25	2786	13
25	37924	4
25	48525	4
26	44394	1
27	1745	7
27	25547	15
27	30112	15
27	34250	9
27	39226	15
27	44938	6
27	5013	7
27	50746	8
27	6458	1
29	12963	4
29	17018	13
29	25207	4
29	25683	4
29	28232	4
29	29276	4
29	30020	4
29	32380	0
29	34575	4
29	37924	4
29	46899	4
29	52284	4
31	11170	6
31	20215	9
31	21319	6
31	22126	6
31	35351	9
31	7341	15
31	9199	1
34	14836	15
34	26820	9
34	39732	9
34	55448	9
36	48378	13
37	14375	9
37	31851	7
37	41178	6
37	44458	1
38	13264	4
38	21111	4
38	21397	4
38	21723	4
38	25059	4
38	28151	4
38	30944	4
38	48426	4
38	52129	13
38	56337	4
39	14375	9
39	26481	6
39	30310	6
39	44292	11
39	44458	1
40	1660	10
40	18090	12
40	21476	4
40	21593	4
40	27497	12
40	32205	4
40	32219	4
40	33409	12
40	38775	12
40	39011	12
40	41255	12
40	42481	13
40	42545	13
40	42709	4
40	45479	12
40	46728	4
40	51780	4
40	51950	13
40	52933	4
40	53673	12
40	55115	4
40	56083	4
40	57046	12
41	28464	6
41	3101	1
41	53661	15
41	57655	6
42	1013	4
42	10495	4
42	17643	4
42	25683	4
42	46469	4
42	56083	4
42	56994	4
42	7745	4
45	16141	15
45	16167	15
45	16752	15
45	19261	6
45	23663	15
45	29628	6
45	3246	6
45	34343	6
45	34960	15
45	38461	9
45	44242	15
45	46336	9
45	48265	6
45	4920	6
45	53497	2
45	746	6
45	7714	1
45	8317	1
47	12963	4
47	22163	4
47	25683	4
47	37896	4
47	37924	4
47	38485	4
47	44164	13
47	47040	4
47	50630	4
47	6796	4
48	11855	13
48	13185	4
48	1660	10
48	17643	4
48	19547	13
48	22302	13
48	25207	4
48	2567	4
48	25683	4
48	27497	12
48	39056	13
48	40512	4
48	41563	4
48	43672	13
48	47040	4
48	47600	13
48	48122	4
48	49230	4
48	52463	4
48	53105	4
48	58084	3
48	8379	12
51	27476	13
52	14399	6
52	56474	1
53	18598	13
55	45296	9
55	55110	1
58	11908	4
58	11916	10
58	21953	4
58	27784	4
58	28449	4
58	28768	4
58	33135	4
58	33185	4
58	34076	4
58	38283	4
58	38635	12
58	39962	4
58	41777	12
58	44943	4
58	8748	4
59	14333	13
59	16380	4
59	19987	4
59	25683	4
59	27879	4
59	29548	13
59	29894	4
59	30010	4
59	31338	4
59	33674	4
59	37924	4
59	46998	4
59	49279	4
59	52030	4
59	54230	4
59	6050	13
59	7503	4
60	22215	9
60	55524	11
60	56802	15
64	28372	9
64	28412	7
64	33903	15
64	44901	15
64	9781	11
65	33601	13
66	15138	15
66	37231	9
69	11858	9
70	257	6
70	28925	15
70	46150	15
71	20784	15
71	28372	9
71	30453	7
71	44901	15
71	9781	11
72	39373	13
72	49158	13
73	14836	15
73	20839	9
73	26820	9
73	33909	2
73	43792	15
73	47662	8
73	5126	2
73	56185	15
73	7549	9
74	14485	4
74	15575	4
74	28639	4
74	28790	12
74	3202	4
74	32219	4
74	45879	4
74	49487	4
74	52957	12
74	55321	4
74	57101	4
74	57617	13
74	8219	4
74	8221	4
74	8250	4
74	9228	4
79	28197	13
86	6267	13
87	19985	13
87	28922	13
89	19137	9
89	23735	6
89	34129	9
89	38648	1
89	5722	1
94	2874	1
94	35005	9
94	35452	6
94	39321	7
94	52797	1
95	30880	13
98	16988	15
98	28985	9
99	20675	1
99	20839	9
101	20265	1
101	30542	6
101	43884	1
102	40264	13
105	17554	15
105	19705	1
105	2752	15
105	28993	11
105	29658	9
105	3316	9
105	36631	15
105	39888	9
105	44421	15
105	52506	15
105	5316	9
105	53667	1
105	793	2
106	19246	13
109	18076	13
113	17871	15
113	2570	6
113	38791	9
115	16467	4
115	25683	4
115	32865	4
115	33409	12
115	35180	13
115	3634	4
115	37924	4
115	39011	12
115	43971	4
115	47040	4
