
Epoch: 0, loss: 106.63153922557831, time: 6.72231388092041
Epoch: 1, loss: 99.61424165964127, time: 6.439610719680786
Epoch: 2, loss: 94.95382022857666, time: 6.417049884796143
Epoch: 3, loss: 90.79864209890366, time: 6.587180137634277
Epoch: 4, loss: 87.50199347734451, time: 6.4741692543029785
Epoch: 5, loss: 84.58131694793701, time: 6.461750030517578
Epoch: 6, loss: 81.89546716213226, time: 6.470168113708496
Epoch: 7, loss: 79.6998280286789, time: 6.445467233657837
Epoch: 8, loss: 77.33707004785538, time: 6.489891052246094
Epoch: 9, loss: 75.66199630498886, time: 6.3989739418029785
Epoch: 10, loss: 73.72891598939896, time: 6.4720189571380615
Epoch: 11, loss: 71.66458070278168, time: 6.4037158489227295
Epoch: 12, loss: 70.13986796140671, time: 6.476614236831665
Epoch: 13, loss: 68.36165630817413, time: 7.15152907371521
Epoch: 14, loss: 67.08555895090103, time: 6.722189664840698
Epoch: 15, loss: 65.91779410839081, time: 6.570696830749512
Epoch: 16, loss: 64.45041352510452, time: 6.650384187698364
Epoch: 17, loss: 63.15703785419464, time: 6.51648211479187
Epoch: 18, loss: 61.82308202981949, time: 6.510961055755615
Epoch: 19, loss: 60.70851320028305, time: 6.495774030685425
Epoch: 20, loss: 59.34154611825943, time: 6.523051023483276
Epoch: 21, loss: 58.56750923395157, time: 6.472092151641846
Epoch: 22, loss: 57.15040159225464, time: 6.505746841430664
Epoch: 23, loss: 56.21045124530792, time: 6.605188846588135
Epoch: 24, loss: 55.13207733631134, time: 6.478564023971558
Epoch: 25, loss: 54.61066114902496, time: 6.465587139129639
Epoch: 26, loss: 53.077226400375366, time: 6.591418981552124
Epoch: 27, loss: 52.34092673659325, time: 6.539458990097046
Epoch: 28, loss: 51.51513707637787, time: 6.607285022735596
Epoch: 29, loss: 50.54803615808487, time: 6.555583953857422
Epoch: 30, loss: 49.74159017205238, time: 6.551035165786743
Epoch: 31, loss: 49.04332810640335, time: 6.601660251617432
Epoch: 32, loss: 48.327416598796844, time: 6.527723073959351
Epoch: 33, loss: 47.559439063072205, time: 6.4974448680877686
Epoch: 34, loss: 46.81261172890663, time: 6.496961832046509
Epoch: 35, loss: 46.13337942957878, time: 6.56581711769104
Epoch: 36, loss: 45.105516135692596, time: 6.500895023345947
Epoch: 37, loss: 44.50777590274811, time: 6.576422214508057
Epoch: 38, loss: 43.84929630160332, time: 6.527389049530029
Epoch: 39, loss: 43.10018664598465, time: 6.517502069473267
Epoch: 40, loss: 42.4321890771389, time: 6.525001049041748
Epoch: 41, loss: 41.79731622338295, time: 6.584496974945068
Epoch: 42, loss: 41.43629693984985, time: 6.511222839355469
Epoch: 43, loss: 40.49316421151161, time: 6.487023830413818
Epoch: 44, loss: 40.01564210653305, time: 6.478755235671997
Epoch: 45, loss: 39.48809298872948, time: 6.5681540966033936
Epoch: 46, loss: 38.83215853571892, time: 6.530372858047485
Epoch: 47, loss: 38.03122103214264, time: 6.5223469734191895
Epoch: 48, loss: 38.08486279845238, time: 6.572083234786987
Epoch: 49, loss: 37.29881912469864, time: 6.75216007232666
Epoch: 50, loss: 36.96581795811653, time: 6.587451934814453
Epoch: 51, loss: 36.43589177727699, time: 6.551280975341797
Epoch: 52, loss: 35.756802439689636, time: 6.574270963668823
Epoch: 53, loss: 35.35864016413689, time: 6.744172096252441
Epoch: 54, loss: 34.62913426756859, time: 6.654926061630249
Epoch: 55, loss: 34.721231907606125, time: 6.535399913787842
Epoch: 56, loss: 33.60286146402359, time: 6.462834358215332
Epoch: 57, loss: 33.6116863489151, time: 6.509528160095215
Epoch: 58, loss: 33.087930500507355, time: 6.529048204421997
Epoch: 59, loss: 32.52248403429985, time: 6.463476896286011
Epoch: 60, loss: 32.37183064222336, time: 6.4655938148498535
Epoch: 61, loss: 31.714725255966187, time: 6.519223928451538
Epoch: 62, loss: 31.31202581524849, time: 6.5392327308654785
Epoch: 63, loss: 30.842281192541122, time: 6.5668511390686035
Epoch: 64, loss: 30.491833329200745, time: 6.510055303573608
Epoch: 65, loss: 29.94775265455246, time: 6.51190710067749
Epoch: 66, loss: 29.624538987874985, time: 6.50696873664856
Epoch: 67, loss: 29.493132889270782, time: 6.526993989944458
Epoch: 68, loss: 29.056394696235657, time: 6.575505971908569
Epoch: 69, loss: 28.665323048830032, time: 6.578365087509155
Epoch: 70, loss: 28.418304204940796, time: 6.546452045440674
Epoch: 71, loss: 28.23849281668663, time: 6.544015169143677
Epoch: 72, loss: 27.626659899950027, time: 6.621862173080444
Epoch: 73, loss: 27.249540209770203, time: 6.5337910652160645
Epoch: 74, loss: 26.82148079574108, time: 6.558042049407959
Epoch: 75, loss: 26.445377737283707, time: 6.485728979110718
Epoch: 76, loss: 26.161737889051437, time: 6.567442893981934
Epoch: 77, loss: 25.970640659332275, time: 6.605920791625977
Epoch: 78, loss: 25.35922822356224, time: 6.513173818588257
Epoch: 79, loss: 25.21025986969471, time: 6.551212787628174
Epoch: 80, loss: 24.915556728839874, time: 6.498137950897217
Epoch: 81, loss: 24.839889004826546, time: 6.672947883605957
Epoch: 82, loss: 24.476425260305405, time: 6.4679741859436035
Epoch: 83, loss: 24.07670360803604, time: 6.4475719928741455
Epoch: 84, loss: 23.915258437395096, time: 6.5970470905303955
Epoch: 85, loss: 23.562342181801796, time: 6.682538032531738
Epoch: 86, loss: 23.18563111126423, time: 6.542362928390503
Epoch: 87, loss: 23.071201100945473, time: 6.573307037353516
Epoch: 88, loss: 22.808366611599922, time: 6.4882731437683105
